TARGET_FLAG,TARGET_AMT,AGE,BLUEBOOK,CAR_AGE,CAR_TYPE,CAR_USE,CLM_FREQ,EDUCATION,HOMEKIDS,HOME_VAL,INCOME,JOB,KIDSDRIV,MSTATUS,MVR_PTS,OLDCLAIM,PARENT1,RED_CAR,REVOKED,SEX,TIF,TRAVTIME,URBANICITY,YOJ,CAR_TYPE_Minivan,CAR_TYPE_PanelTruck,CAR_TYPE_Pickup,CAR_TYPE_SUV,CAR_TYPE_SportsCar,CAR_TYPE_Van,CAR_USE_Commercial,CAR_USE_Private,EDUCATION_<HighSchool,EDUCATION_Bachelors,EDUCATION_HighSchool,EDUCATION_Masters,EDUCATION_PhD,JOB_BlueCollar,JOB_Clerical,JOB_Doctor,JOB_HomeMaker,JOB_Lawyer,JOB_Manager,JOB_NotInf,JOB_Professional,JOB_Student,KIDSDRIV_0,KIDSDRIV_1,MSTATUS_No,MSTATUS_Yes,PARENT1_No,PARENT1_Yes,RED_CAR_No,RED_CAR_Yes,REVOKED_No,REVOKED_Yes,SEX_F,SEX_M,URBANICITY_Rural,URBANICITY_Urban
0,0.0,60.0,14230,18.0,Minivan,Private,2,PhD,0,0.0,67349.0,Professional,0,No,3,4461,No,Yes,No,M,11,14,Urban,11.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
0,0.0,43.0,14940,1.0,Minivan,Commercial,0,HighSchool,0,257252.0,91449.0,BlueCollar,0,No,0,0,No,Yes,No,M,1,22,Urban,11.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
0,0.0,35.0,4010,10.0,SUV,Private,2,HighSchool,1,124191.0,16039.0,Clerical,0,Yes,3,38690,No,No,No,F,4,5,Urban,10.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
0,0.0,50.0,18000,17.0,SUV,Private,2,PhD,0,243925.0,114986.0,Doctor,0,Yes,3,19217,No,No,Yes,F,1,36,Urban,11.035897118364776,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
1,2946.0,34.0,17430,7.0,SportsCar,Commercial,0,Bachelors,1,0.0,125301.0,BlueCollar,0,No,0,0,Yes,No,No,F,1,46,Urban,12.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
1,4021.0,37.0,16970,7.0,Van,Commercial,1,Bachelors,2,333680.0,107961.0,BlueCollar,1,Yes,10,2374,No,Yes,Yes,M,1,44,Urban,10.027367444927346,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
1,2501.0,34.0,11200,1.0,SUV,Private,0,Bachelors,0,0.0,62978.0,Clerical,0,No,0,0,No,No,No,F,1,34,Urban,10.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,50.0,18510,17.0,Van,Commercial,0,Bachelors,0,0.0,106952.0,Professional,0,No,1,0,No,No,No,M,7,48,Rural,7.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
1,6077.0,53.0,18300,11.0,SportsCar,Private,0,Masters,0,0.0,77100.0,Lawyer,0,No,0,0,No,No,No,F,1,15,Urban,14.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0.0,43.0,22420,1.0,Minivan,Private,0,Masters,0,209970.0,52642.0,Professional,0,Yes,0,0,No,No,No,F,7,36,Rural,5.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
